,year,interest-rate,inflation,government,continent
0,1960,1.0,1.77987784677379,Constitutional-Republic,Asia
1,1961,1.35957451192488,1.69521293914439,Constitutional-Republic,Asia
2,1962,0.578972021013897,3.63221497106987,Constitutional-Republic,Asia
3,1963,3.57490104643389,2.94616135685227,Constitutional-Republic,Asia
4,1964,5.00848543151629,13.3552611508153,Constitutional-Republic,Asia
5,1965,-4.78800823838161,9.47475859170697,Constitutional-Republic,Asia
6,1966,-2.18300181791176,10.8018483489341,Constitutional-Republic,Asia
7,1967,5.55485816003069,13.0622024777969,Constitutional-Republic,Asia
8,1968,1.1697298384489,3.23741242627508,Constitutional-Republic,Asia
9,1969,4.21813100119735,-0.584136610466297,Constitutional-Republic,Asia
10,1970,2.85855823007255,5.09226161997544,Constitutional-Republic,Asia
11,1971,-0.585705894353623,3.07993868406547,Constitutional-Republic,Asia
12,1972,-2.74392003149855,6.44209746158235,Constitutional-Republic,Asia
13,1973,0.99613555452855,16.9408159791736,Constitutional-Republic,Asia
14,1974,-1.07402888750558,28.598734077509,Constitutional-Republic,Asia
15,1975,6.73378078630007,5.74843029767432,Constitutional-Republic,Asia
16,1976,-0.558062114432147,-7.63394763392876,Constitutional-Republic,Asia
17,1977,4.91209573102185,8.30747009171162,Constitutional-Republic,Asia
18,1978,3.39887654430441,2.52304875695182,Constitutional-Republic,Asia
19,1979,-7.32199104092811,6.27568336762338,Constitutional-Republic,Asia
20,1980,4.3493740925681,11.3460734795094,Constitutional-Republic,Asia
21,1981,3.62086273029134,13.112546897642,Constitutional-Republic,Asia
22,1982,1.16259217390204,7.8907427937749,Constitutional-Republic,Asia
23,1983,4.89273298922413,11.8680812986734,Constitutional-Republic,Asia
24,1984,1.49790794895415,8.3189071186007,Constitutional-Republic,Asia
25,1985,2.9142065932041,5.55642423236555,Constitutional-Republic,Asia
26,1986,2.46050528763675,8.72972072702588,Constitutional-Republic,Asia
27,1987,1.69196209134009,8.80112581251833,Constitutional-Republic,Asia
28,1988,7.25916602295547,9.38347186185332,Constitutional-Republic,Asia
29,1989,3.67386255865014,7.07428002942298,Constitutional-Republic,Asia
30,1990,3.2978540660614,8.97123250273256,Constitutional-Republic,Asia
31,1991,-1.0451054689607,13.8702461773683,Constitutional-Republic,Asia
32,1992,3.31686593497029,11.7878170418135,Constitutional-Republic,Asia
33,1993,2.6274658625137,6.32689048779867,Constitutional-Republic,Asia
34,1994,4.52513381100772,10.2479355556119,Constitutional-Republic,Asia
35,1995,5.45294586360325,10.2248861637545,Constitutional-Republic,Asia
36,1996,5.47110810211579,8.97715233826453,Constitutional-Republic,Asia
37,1997,2.07187327654599,7.16425211462723,Constitutional-Republic,Asia
38,1998,4.19892115955123,13.2308389767977,Constitutional-Republic,Asia
39,1999,6.85133340791346,4.66982038037589,Constitutional-Republic,Asia
40,2000,1.96595243736218,4.0094359104519,Constitutional-Republic,Asia
41,2001,2.94531935910594,3.77929312235641,Constitutional-Republic,Asia
42,2002,1.97590798401733,4.29715203929562,Constitutional-Republic,Asia
43,2003,6.01652056403348,3.80585899528852,Constitutional-Republic,Asia
44,2004,6.13260616764802,3.7672517347751,Constitutional-Republic,Asia
45,2005,6.20601103218459,4.24634362031927,Constitutional-Republic,Asia
46,2006,6.42604471464323,5.79652337561635,Constitutional-Republic,Asia
47,2007,6.09362577949739,6.37288135593229,Constitutional-Republic,Asia
48,2008,1.63078058948642,8.34926704907581,Constitutional-Republic,Asia
49,2009,6.37170938858857,10.8823529411765,Constitutional-Republic,Asia
50,2010,7.0131745803792,11.9893899204243,Constitutional-Republic,Asia
51,2011,3.81807313030191,8.9117933648337,Constitutional-Republic,Asia
52,2012,4.06082356979447,9.47899691419793,Constitutional-Republic,Asia
53,2013,5.01461186440864,10.0178784746103,Constitutional-Republic,Asia
54,2014,6.0861802271277,6.665656718679,Constitutional-Republic,Asia
55,2015,6.72106763067042,4.90697344127254,Constitutional-Republic,Asia
56,2016,6.9809897013302,4.94821634062142,Constitutional-Republic,Asia
57,2017,5.56833351357233,3.32817337461301,Constitutional-Republic,Asia
58,2018,5.30240867857405,3.93882646691634,Constitutional-Republic,Asia
59,2019,2.8118731022506,3.72950573539126,Constitutional-Republic,Asia
60,2020,-6.72629208017965,6.62343677628532,Constitutional-Republic,Asia
61,2021,8.18436771562176,5.13140747176369,Constitutional-Republic,Asia
62,2022,6.27740381398618,6.6990341407985,Constitutional-Republic,Asia
